Word,formal word
hmmm,<nan>
berkalikali,berkali-kali
loe,kamu
kesel,kesal
doang,saja
misuhmisuh,menggerutu
sunset,matahari terbenam
makananannya,makanannya
abisnya,habisnya
deadline,tenggat waktu
restoranrestoran,restoran-restoran
yasudahlah,ya sudah
drive,layanan melalui kendaraan
thru,<nan>
soksikan,saksikan
ayok,ayo
loronglorong,lorong-lorong
gubug,gubuk
lagulagunya,lagu-lagunya
food,makanan
chinese,tiongkok
indoor,dalam
ngge,ngga
pastapasta,pasta-pasta
tinggitinggi,tinggi-tinggi
samasama,sama-sama
bisabisa,bisa-bisa
bolak,bolak balik
hehehehe,hehe
order,pesan
relaks,santai
pda,pada
overpriced,terlalu mahal
nyicip,mencicipi
hargaharga,harga-harga
swieke,swike
kepedasan,kepedesan
berbedabeda,berbeda-beda
rp,rupiah
pakek,pakai
pengin,ingin
capture,tangkapan layar
muteer,mutar
kepepet,terdesak
kerlip,kerlipan
malammalam,malam-malam
indonesian,indonesia
teregistrasi,teregistrasi
excellent,sempurna
butcehr,butcher
stiabudhi,setiabudi
frencfries,kentang goreng
so,jadi
eror,bermasalah
lumpiah,lumpia
booked,sudah pesan
ributribut,ribut-ribut
flash,diskon besar
unyil,kecil
award,penghargaan
bakarbakaran,bakar-bakaran
25000,25 ribu
diputer,diputar
mah,<nan>
duaduanya,dua-duanya
woy,<nan>
flat,rata
tastenya,rasanya
gaenak,tidak enak
isian,isinya
ehmmmm,<nan>
branding,merek
mewek,menangis
mienya,minya
top,mantap
counter,stan
garagara,gara-gara
1748,lima lewat empat puluh delapan
dicek,diperiksa
budget,anggaran
hehehe,hehe
live,<nan>
dll,dan lain lain
roomnya,ruangannya
nongkrongnongkrong,bersosialisasi
not,cukup baik
bad,<nan>
sadarsadar,sadar-sadar
cuy,<nan>
jumbo,besar
95000,95 ribu
pickup,diambil
lo,kamu
oon,bodoh
napsu,nafsu
ohya,oh ya
kasi,kasih
190000,190 ribu
maxi,maxis
s,<nan>
pondokpondok,pondok-pondok
gado,gado-gadonya
gadonya,<nan>
isteri,istri
5000,5 ribu
jamjam,jam-jam
baguus,bagus
traveler,pengembara
tmpt,tempat
tb2,tiba-tiba
kdg,kadang
pra,prabayar
14000,14 ribu
piringpiring,piring-piring
menrayakan,merayakan
bervariatif,bervariasi
v,5
average,rata-rata
telor,telur
ga,tidak
sauce,saus
potatto,kentang
saung2,saung-saung
sundanese,sunda
kadangkadang,kadang-kadang
marahmarah,marah-marah
lamalama,lama-lama
pelayannannya,pelayanannya
cahsback,cashback
j,juta
uta,<nan>
500k,500 ribu
cc,kartu kredit
copot,dilepas
dpt,dapat
secretary,sekretaris
indomi,indomie
dicaricari,dicari-cari
dngan,dengan
sby,surabaya
bnywangi,banyuwangi
kedipkedip,kedip-kedip
berlamalama,berlama-lama
galau,sedih
story,cerita
mm,<nan>
kamikami,kami
minya,mienya
bisabisanya,bisa-bisanya
buanyak,banyak
sampe,sampai
fotofoto,foto-foto
job,tampil
internetan,memakai internet
motoran,naik motor
item,buah
ngeplay,memulai
stories,cerita
loadingnya,memuatnya
gunaka,gunakan
kecemplung,terjatuh
ngebut,cepat
besarbesar,besar-besar
complaint,komplain
sumatera,sumatra
sweeping,menyapu
turis,wisatawan
okay,oke
kursikursi,kursi-kursi
balikin,kembalikan
nelp,menelpon
bersiapsiap,bersiap-siap
asemnya,asamnya
respeknya,menghormati
indominya,indomie
diketerangan,diberikan keterangan
pingin,ingin
masmasnya,mas-masnya
blubup,<nan>
2baso,2 bakso
berulangulang,berulang-ulang
refreshing,menyegarkan
real,asli
settingan,rekayasa
duh,aduh
saos,saus
wekkend,liburan
rating,nilai
sodara,saudara
jogya,jogja
sejam,satu jam
dalem,dalam
reservation,reservasi
abiz,sekali
hhe,hehe
soksokan,berlagak
ktpel,ketapel
instal,install
uninstal,uninstall
bawaannya,asli
gede,besar
telalu,terlalu
komen,komentar
tripadvisor,trip advisor
bersihbersih,bersuh-bersuh
udah,sudah
kilo,kg
2x,2 kali
diajakin,diajak
perjalanana,perjalanan
desert,makanan penutup
helpul,membantu
direspons,direspon
setimpallah,sebanding
macammacam,macam-macam
sedapnya,enak
phisik,fisik
wow,<nan>
jam6,jam 6
e,<nan>
dibooking,dipesan
juice,jus
dimasalahkan,dipermasalahkan
macemmacem,macam-macam
shop,toko
doyan,suka
luarbiasa,luar biasa
sebenarbenarnya,sebenar-benarnya
especially,khususnya
chiken,ayam
markotop,enak
dimata,di mata
diskip,dilewati
memlilih,memilih
bukittinggi,bukit tinggi
jalanjalan,jalan-jalan
juicy,berair
mengantre,mengantri
punten,permisi
senen,senin
seprai,penutup tempat tidur
msih,masih
omongnya,berkata
emang,memang
iyasi,iya
ngadepin,menghadapi
ngomelngomel,mengeluh
kopong,kosong
keptingnya,kepitingnya
kongkowkongkow,bersosialisasi
mengasyikkan,asik
puasnya,puas
pintarpintar,pintar-pintar
berkelokkelok,berkelok-kelok
janjijanji,janji-janji
seiprit,sangat kecil
ema,ibu
yooyee,<nan>
1800an,1800
review,menilai
mmm,<nan>
yummi,enak
kirakira,kira-kira
lainlain,lain-lain
unlimited,tidak terbatas
restaurant,restoran
berkordinasi,berkoordinasi
nyesek,sesak
busnya,bus
putihtrus,putih terus
yaah,<nan>
didiskon,diberikan diskon
mengunakan,menggunakan
setipe,satu tipe
makimaki,maki-maki
hape,handphone
boskuh,bos
maps,peta
goyanggoyang,goyang-goyang
sebanyakbanyaknya,sebanyak-banyaknya
nangisnangis,nangis-nangis
ngadu,mengadu
ee,<nan>
pilhan,pilihan
spesialnyanya,spesialnya
lumayam,lumayan
medium,sedang
tea,the
namanyan,namanya
jg,juga
soresore,sore-sore
crispy,garing
tcash,uang
12500,12 ribu
h,<nan>
mejameja,meja-meja
february,februari
caloncalon,calon-calon
kemenangannya,kemenangannya
ecekecek,kecil
waraskah,waras tidak
mix,campur
restaurat,restoran
dipack,dikemas
doi,dia
siapasiapanya,siapa-siapanya
delivery,antar
bener,benar
3x,3 kali
budgetnya,anggarannya
ribet,rumit
mitramitra,mitra-mitra
karyawanya,karyawannya
doooooonk,<nan>
warnawarni,warna-warni
gulai,sapu lidi
maknyus,enak
cabikcabik,cabuk-cabik
vs,melawan
recomend,direkomendasikan
jauhjauh,jauh-jauh
garinggaringnya,garing-garingnya
betulbetul,betul-betul
koleksikoleksi,koleksi-koleksi
cafecafe,kafe-kafe
gorenggoreng,goreng-goreng
belabelain,menyempatkan diri
830,delapan lewat tiga puluh
tepar,lelah
verified,telah diverifikasi
by,oleh
max,maksimal
favourite,favorit
orange,jeruk
paspasan,pas-pasan
ringanringan,ringan-ringan
picture,foto
afdol,ideal
bertanyatanya,bertanya-tanya
sangatsangat,sangat-sangat
bedabeda,berbeda-beda
dilihatlihat,dilihat-lihat
kocek,berfungsi
aktifasi,aktivasi
php,tipu
songongsongong,sombong
yuummy,enak
5500,lima ribu lima ratus
bertahuntahun,bertahun-tahun
santaisantai,santai-santai
rica2nya,rica-ricanya
pedaspedas,pedas-pedas
baterenya,baterainya
makananmakanan,makanan-makanan
becus,cakap
poolside,pinggir kolam
kecapekan,kelelahan
dijualkan,dijual
seakanseakan,seakan-akan
beuh,<nan>
rapatrapat,rapat-rapat
masukmasuk,masuk-masuk
berjalanjalan,berjalan-jalan
bandunh,bandung
shabushabu,shabu-shabu
mendingan,lebih baik
rukoruko,ruko-ruko
menhabiskan,menghabiskan
hatihati,hati-hati
wuooow,<nan>
gitugitu,gitu-gitu
kayukayu,kayu-kayu
ojol,ojek online
eneg,mual
foodcourtnya,tempat makan
viewnya,pemandangannya
amazing,menakjubkan
sing,singgah
lawangwanginya,lawang wanginya
lawangwangi,lawang wanginya
menyerupai,lengkap
lkp,lengkap
komikkomik,komik-komik
seriusan,serius
promopromo,promo-promo
cafenya,kafenya
disupermarket,di supermarket
barangbarang,barang-barang
brandednya,barang bermereknya
ramairamai,ramai-ramai
disuggest,disarankan
beterbangan,berterbangan
berharihari,berhari-hari
mesan,pesan
ticket,tiket
konfirmnya,konfirmasinya
langsungnya,langsung
smuanya,semuanya
decline,ditolak
ngaku,mengaku
biasabiasanya,biasa-biasanya
wassalam,sangat
sebenrnya,sebenarnya
seolaholah,seolah-olah
ngambek,marah
bangetlah,sekali
ngehank,bermasalah
mengikuuti,mengikuti
indoneisa,indonesia
submit,masuk
artikle,artikel
unpublished,tidak dipublikasi
cupu,lemah
connect,tersambung
seenak,sebanding dengan
pengontrol,pengawas
special,spesial
hiduphidup,hidup-hidup
bookingnya,pesannya
nelepon,menelepon
gini,begini
siasia,sia-sia
hm,<nan>
tanyatanya,tanya-tanya
hpnya,handphonenya
sebrang,seberang
kacakacanya,kaca-kacanya
rantingranting,ranting-ranting
abiiis,abis
anw,<nan>
diprosesproses,diproses-proses
gate,gerbang
kuekuenya,kue-kuenya
update,perbarui
roemah,rumah
direstoran,di restoran
sialannnnnnn,sialan
waitressnya,pelayannya
gitulah,begitulah
problem,masalah
dm,pesan
reserved,telah dipesan
picnic,piknik
ngopingopi,minum kopi
yg,yang
history,riwayat
asalasalan,asal-asalan
nabrak,menabrak
eheehe,hehe
prewed,pra-nikah
sobat,sahabat
selambatlambatnya,selambat-lambatnya
taunya,tahunya
crew,pelayan
gopek,500 perak
gule,gulai
kreatifitas,kreativitas
poling,pilihan
recommended,direkomendasikan
wkwkwkwk,haha
seh,sih
dmulai,dimulai
ck,<nan>
to,untuk
visit,datang
here,kesini
terusmenerus,terus-menerus
bagusbagus,bagus-bagus
juicenya,jusnya
musicnya,musiknya
cafe,kafe
chocolate,coklat
devicenya,alatnya
kelembekan,terlalu lembek
nunggunya,menunggu
authentic,otentik
comfortable,nyaman
cremes,kremes
55000,55 ribu
30000,30 ribu
under,dibawah
estimate,estimasi
dech,<nan>
mantaps,mantap
yup,<nan>
antardaerah,antar daerah
kekurangpahaman,kurang pahamnya
monitoring,memantau
penggunaanpemanfaatan,penggunaan pemanfaatan
kabupatenkota,kabupaten kota
daerahdaerah,daerah daerah
antarprovinsi,antar provinsi
laporanlaporan,laporan-laporan
buktibukti,bukti-bukti
contohcontoh,contoh-contoh
bolakbalik,bolak-balik
masyarakatkependidikan,masyarakat pendidikan
unitunit,unit-unit
sekolahmadrasah,sekolah madrasah
sekolahsekolah,sekolah-sekolah
i,1
ii,2
iii,3
berperanserta,berkontribusi
unsurunsur,unsur-unsur
terkoordinir,terkoordinasi
respons,respon
tidakjelasnya,tidak jelasnya
sendirisendiri,sendiri-sendiri
programprogram,program-program
fenomenafenomena,fenomena-fenomena
indikasiindikasi,indikasi-indikasi
periodeperiode,periode-periode
penerimaannya,penerimaannya
antarsekolah,antar sekolah
kegiatankegiatan,kegiatan-kegiatan
belajarmengajar,belajar mengajar
bukubuku,buku-buku
apk,aplikasi
upayaupaya,upaya-upaya
transpor,transportasi
tergesagesa,tergesa-gesa
saransaran,saran-saran
no,nomor
viii,8
banklembaga,bank lembaga
ixdana,9 dana
xi,9
xiv,14
xxi,21
xxvi,24
kondisikondisi,kondisi-kondisi
provinsiprovinsi,provinsi-provinsi
desadesa,desa-desa
iv,6
hasilhasil,hasil-hasil
nonformal,tidak formal
obatobatan,obat-obatan
kioskios,kios-kios
negera,negara
dikelompokkan,hektar
antarkota,antar kota
sayursayuran,sayur-sayuran
negaranegara,negara-negara
keluargakeluarga,keluarga-keluarga
berbatubatu,berbatu-batu
diaspalkan,diaspal
vii,7
lakilaki,laki-laki
berimbang,seimbang
separo,separuh
vi,6
tokotoko,toko-toko
perdesaan,pedesaan
buruhpekerja,buruh pekerja
prakelahiran,pra kelahiran
pascakelahiran,pasca kelahiran
rumahrumah,rumah-rumah
kreditpinjaman,kredit pinjaman
kekurangtercakupan,kurang cangkupan
undercoverage,<nan>
nonmiskin,tidak miskin
sejahtra,sejahtera
akademiuniversitas,akademi universitas
berturutturut,berturut-turut
kesemua,ke semua
bermatapencaharian,bermata pencaharian
kirimantransfer,kiriman transfer
perbedaanperbedaan,perbedaan-perbedaan
ix,9
spesifiklokal,spesifik lokal
antardusun,antar dusun
prasejahtera,pra sejahtera
desakelurahan,desa kelurahan
kanakkanak,anak-anak
ustad,ustaz
sedeng,sedang
pisan,sekali
x,10
pembantuburuhkenek,pembatu buruh kenek
sugih,kaya
sedheng,sedang
gedhek,besar
nyalur,<nan>
pekerjaanpekerjaan,pekerjaan-pekerjaan
kurangmiskin,kurang miskin
kecilkeliling,kecil keliling
m,<nan>
danatau,dan atau
ciriciri,ciri ciri
dusu,dusun
baseline,dasar
supply,suplai
demand,permintaan
bumil,ibu hamil
kia,kesehatan ibu dan anak
sdsd,sd sd
jebol,hancur
bangkubangkunya,bangku-bangkunya
alatalat,alat alat
alasanalasan,alasan-alasan
temuantemuan,temuan-temuan
pemeriksaaan,pemeriksaan
field,<nan>
notes,<nan>
tahunankeras,tahunan keras
ibuibu,ibu-ibu
antardesa,antar desa
indikatorindikator,indikator-indikator
wilayahwilayah,wilayah-wilayah
rsu,rumah sakit umum
seia,seiya
semau-maunya,semaunya
kecerdasan-nya,kecerdasannya
diberikan-nya,diberikannya
ceritera-ceritera,cerita-cerita
memeriksa-nya,memeriksanya
lenan,linen
berkilau-kilauan,berkilauan
ajarlah,ajarkan
sesawi,sawi-sawi
dilarang-nya,dilarangnya
ihwalku,hal
kepada-mu,kepadamu
tempat-ku,tempatku
angkatan-angkatan,angkatan
nabi-nabi-nya,nabi-nabinya
dipegang-nya,dipegangnya
tegorlah,tegurlah
diutus-nya,diutusnya
suara-ku,suaraku
kasut,alas kaki
perintah-nya,perintahnya
kaukatakan,kau katakan
serta-nya,sertanya
pentahiran,penahiran
menyerahkan-nya,menyerahkannya
asal-nya,asalnya
mata-nya,matanya
jawab-mu,jawabmu
puteri-puteri,putri-putri
zinahnya,zinanya
pengajaran-mu,pengajaranmu
penghakiman-mu,penghakimanmu
kepunyaan-nya,kepunyaanya
menerima-nya,menerimanya
jalan-ku,jalanku
kerelaan-nya,kerelaannya
pulalah,pula
kedatangan-nya,kedatangannya
memeterai,mengecap
injil-nya,injilnya
melayani-nya,melayaninya
kasut-nya,sepatunya
dididik,di didik
umat-mu,umatmu
bermupakat,bermufakat
kauminta,kau minta
kaulihat,kau lihat
disalahkan-nya,disalahkannya
atas-nya,atasnya
didapati-nya,didapatinya
mahamulia,maha mulia
kepada-nyalah,kepadanya lah
bersorak-sorai,bersorak-sorak
pengantin-nya,pengantinnya
hati-nya,hatinya
kudus-nya,kudusnya
oleh-nya,olehnya
mengenal-nya,mengenalnya
muka-nya,mukanya
berlain-lainan,berbeda
murid-ku,muridku
sajakah,saja kah
berduyun-duyun,berbondong-bondong
kaukehendaki,kau kehendaki
kemurahan-nya,kemurahannya
tempat-nya,tempatnya
kauberitahukan,kau beritahukan
mengapani,mengkafani
tanda-tanda-nya,tanda-tandanya
bapa-nya,bapanya
samping-nya,sampingnya
bagi-nya,baginya
dekat-nya,dekatnya
mengetok,mengetuk
perkataan-ku,perkataanku
kediaman-nya,kediamannya
partia,kelompok
hamba-mu,hambamu
diingini-nya,diingininya
kesaksian-ku,kesaksianku
menilai-nya,menilainya
dijanjikan-nya,dijanjikannya
hari-ku,hatiku
kehinaan-nya,kehinaanya
hukuman-nya,hukumannya
usul-nya,usulnya
asal-ku,asalku
kehendak-ku,kehendakku
tua-nya,tuanya
keadaan-nya,keadaanya
kekayaan-nya,kekayaannya
firman-mu,firmanmu
menjamah-nya,menjamahnya
malaikat-nya,malaikatnya
kaukutuk,kau kutuk
kukehendaki,ku kehendaki
mengasihi-nya,mengasihinya
sekeliling-nya,sekelilingnya
jejak-nya,jejaknya
darah-nya,darahnya
mati-nya,matinya
diletakkan-nya,diletakkannya
kauperbuat,kau perbuat
bintang-nya,bintangnya
diberi-nya,diberinya
dikehendaki-nya,dikehendakinya
nyawa-ku,nyawaku
roh-nya,rohnya
pekerjaan-ku,pekerjaanku
o,<nan>
keputusan-keputusan-nya,keputusan-keputusannya
jalan-jalan-nya,jalan-jalannya
kematian-nya,kematiannya
menyebut-nya,menyebutnya
hidup-nya,hidupnya
menangkap-nya,menangkapnya
umur-mu,umurmu
menjerat-nya,menjeratnya
kanan-nya,kanannya
sukacita-ku,sukacitaku
tubuh-nya,tubuhnya
ajaran-ku,ajaranku
hujat-nya,hujatnya
menyembah-nya,menyembahnya
hadapan-ku,hadapanku
hari-nya,harinya
dianugerahkan-nya,dianugerahkannya
kesaksian-nya,kesaksiannya
imamat-nya,imamatnya
perjanjian-ku,perjanjianku
kerajaan-ku,kerajaanku
hamba-hamba-ku,hamba-hambaku
perintah-perintah-nya,perintah-perintahnya
keluarga-nya,keluarganya
anak-anak-nya,anak-anaknya
kasihan-nya,kasihannya
dipersiapkan-nya,dipersiapkannya
saudara-ku,saudaraku
kehendak-mu,kehendakmu
perhentian-nya,perhentiannya
dalam-nya,dalamnya
ditiadakan-nya,ditiadakannya
dikasihi-nya,dikasihinya
menyatakan-nya,menyatakannya
hikmat-nya,hikmatnya
besar-nya,besarnya
panggilan-nya,panggilannya
makanan-ku,makananku
pekerjaan-nya,pekerjaannya
menjawab-nya,menjawabnya
hadapan-nya,hadapannya
ram,<nan>
kekerasan-nya,kekerasannya
sahabat-ku,sahabatku
pelayan-pelayan-nya,pelayan-pelayannya
memberitakan-nya,memberitakannya
kaunasihati,kau nasehati
membaringkan-nya,membaringkannya
telinga-nya,telinganya
jemaat-ku,jemaatku
tulang-nya,tulangnya
ilahi-nya,ilahinya
kudus-mu,kudusmu
rumah-ku,rumahku
meninju-nya,meninjunya
kauajarkan,kau ajarkan
bantuan-nya,bantuannya
mendekati-nya,mendekatinya
disembuhkan-nya,disembuhkannya
dihamburkan-nya,dihamburkannya
dibalikkan-nya,dibalikkannya
pakaian-ku,pakaianku
jubah-ku,jubahku
kepala-ku,kepalaku
sahabat-sahabat-ku,sahabat-sahabatku
mujizat-mujizat-nya,mukjizat-mukjizatnya
sejahtera-ku,sejahteraku
upah-ku,upahku
saksi-nya,saksinya
kaudengar,kau dengar
membunuh-nya,membunuhnya
ibu-ku,ibuku
saudara-saudara-ku,saudara-saudaraku
disuruh-nya,disuruhnya
diambil-nya,diambilnya
gua-gua,goa-goa
hakekatnya,hakikatnya
kata-mu,katamu
tangan-mu,tanganmu
pandangan-nya,pandangannya
maksud-nya,maksudnya
pengirikan-nya,pengerikannya
gandum-nya,gandumnya
lumbung-nya,lumbungnya
dibakar-nya,dibakarnya
urusan-mu,urusanmu
sekonyong-konyong,tiba-tiba
mendahului-nya,mendahuluinya
waktu-ku,waktuku
menghina-nya,menghinanya
murka-nya,murkanya
dibagi-bagikan-nya,dibagi-bagikannya
salib-nya,salibnya
dilimpahkan-nya,dilimpahkannya
umat-ku,umatku
kesempurnaan-nya,kesempurnaannya
gambar-nya,gambarnya
murka-ku,murkaku
dibuat-nya,dibuatnya
diusir-nya,diusirnya
dibawa-nya,dibawanya
dijadikan-nya,dijadikannya
roh-ku,rohku
teruna-terunamu,pemuda-pemudamu
ditetapkan-nya,ditetapkannya
ditunjukkan-nya,ditunjukkannya
oleh-mu,olehmu
daging-ku,dagingku
hamba-hamba-mu,hamba-hambamu
bapa-kulah,bapakku
mencuri-nya,mencurnya
difirmankan-nya,difirmankannya
membangkitkan-nya,membangkitkannya
korban-nya,korbannya
suci-nya,sucinya
kemah-nya,kemahnya
asal-mu,asalmu
meludahi-nya,meludahinya
mulut-ku,mulutku
pendapat-mu,pendapatmu
dipilih-nya,dipilihnya
kuasa-ku,kuasaku
jari-nya,jarinya
kemuliaan-ku,kemuliaanku
kebenaran-nya,kebenarannya
kaupancing,kau pancing
saat-ku,saatku
kanan-ku,kananku
kiri-ku,kiriku
perantaraan-nya,perantaraannya
